provider_id,provider_name,Gender,Birth_date,address,city,state,zip_code,country,telephone_number,speciality_id,emergency_services,overall_rating,rating_footnote
PR0436,Kenneth S. Gluski,null,1985-09-08,900 Main St,San Jose,CA,95101,Santa Clara,+1 (618) 576-9889,URO,false,2,null
PR0437,Intermountain Medical Center,Female,null,568 Maple Ave,New York,NY,10001,New York,+1 (771) 107-7954,NEPH,true,2,null
PR0438,Banner – University Medical Center Phoenix,Male,null,986 Main St,San Francisco,CA,94101,San Francisco,+1 (388) 247-3341,HEM,true,3,Recent quality improvements
PR0439,M Health Fairview,null,null,782 Maple Ave,Washington,DC,20001,District of Columbia,+1 (913) 901-3903,"HEM,PULM",false,1,Limited data
PR0440,Scripps Mercy Hospital,null,null,264 Main St,New York,NY,10001,New York,+1 (445) 528-4942,"URO,PULM",false,3,Recent quality improvements
PR0441,Banner – University Medical Center Phoenix,null,null,740 Maple Ave,Washington,DC,20001,District of Columbia,+1 (393) 787-7448,PED,true,5,Limited data
PR0442,Children's Hospital Colorado,Female,null,527 Oak St,Phoenix,AZ,85001,Maricopa,+1 (806) 995-9392,URO,true,3,Limited data
PR0443,Lisa S. Manuele,null,1986-06-13,466 Oak St,Denver,CO,80201,Denver,+1 (789) 391-4718,DERMA,false,4,null
PR0444,Aurora Health Care,null,null,828 Broadway,Austin,TX,73301,Travis,+1 (427) 266-4427,"ONCO,ORTHO",true,3,High patient satisfaction
PR0445,Charisse M. Colbert,null,1986-10-01,373 Oak St,San Diego,CA,92101,San Diego,+1 (712) 971-1830,"HEM,OBGYN",false,5,Recent quality improvements
PR0446,Inova Fairfax Hospital,Female,null,937 Broadway,Los Angeles,CA,90001,Los Angeles,+1 (657) 761-2487,URO,true,1,High patient satisfaction
PR0447,Andrew Cummings,null,1986-12-16,791 Maple Ave,Philadelphia,PA,19101,Philadelphia,+1 (895) 174-1766,"NEPH,ENDO",true,2,High patient satisfaction
PR0448,Luis Ortega Regueira,null,1976-02-09,634 Oak St,Charlotte,NC,28201,Mecklenburg,+1 (222) 939-9738,"ENT,DERMA",true,2,Recent quality improvements
PR0449,UCHealth Memorial Hospital,null,null,229 Maple Ave,Fort Worth,TX,76101,Tarrant,+1 (300) 921-1027,RHEUM,false,2,null
PR0450,Greenwich Hospital,Female,null,141 Oak St,Indiapolis,IN,46201,Marion,+1 (236) 735-5123,SURG,true,5,Limited data
